iteration,dataset_size,train_loss,rollout_mean_pos_error,rollout_final_pos_error,termination_rate
1.0,383.0,0.00031833920971257614,1.129473127762368,2.0275910198688507,1.0
2.0,810.0,9.03531951335026e-05,1.0166660125389118,2.023985981941223,1.0
3.0,1183.0,8.577184582827613e-05,1.1121271890063595,1.9066402316093445,1.0
4.0,1515.0,9.283278821385465e-05,0.9272941484820677,1.7006172388792038,1.0
5.0,1841.0,8.637849421938881e-05,1.0226620421993933,1.6727885454893112,1.0
6.0,2132.0,9.748625801876187e-05,1.1023148395893156,1.7096264362335205,1.0
7.0,2371.0,8.347469707950949e-05,1.0959087248157293,1.6140993982553482,1.0
8.0,2697.0,9.023307167808525e-05,1.0741108824713752,1.7973634228110313,1.0
9.0,2971.0,9.667890341370367e-05,0.9955153671909093,1.759404070675373,1.0
10.0,3320.0,9.298925453913398e-05,1.01043238411096,1.8060049712657928,1.0
