epoch,train_loss
1.0,0.012656936807843522
2.0,0.00434331245918429
3.0,0.003594726136270765
4.0,0.0025539364563087474
5.0,0.0014600465162573073
6.0,0.003370784264802751
7.0,0.0011888419059005173
8.0,0.0007024360105845062
9.0,0.0003849982611008329
10.0,0.0017643266628937226
11.0,0.0020963865139123072
12.0,0.0004419495351761782
13.0,0.0004002685107451498
14.0,0.0004340759896592772
15.0,0.0001272937436787025
16.0,0.000401549597741635
17.0,0.00033272584262533655
18.0,0.0003253443606681117
19.0,0.0002529059628102459
20.0,0.00013068389677783898
21.0,0.00028101886319120695
22.0,0.00025633868376928604
23.0,0.0012687889791607176
24.0,0.0013885353069440498
25.0,0.0004136127001004297
26.0,0.0008705452992643359
27.0,0.0011315949182488794
28.0,0.0004754965999680394
29.0,0.00029764097629225716
30.0,0.00036111511634651094
